sentence,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
"This person had heavy makeup, a 5 o'clock shadow, jet-black hair, a pointy nose, and arched eyebrows, creating an alluring and striking look.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a bright, beaming smile, their gray hair styled into wavy tresses with fringe bangs, and their face heavily adorned with makeup.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"This person had a distinguished appearance with their gray hair, a bald head, and a combination of arched and bushy eyebrows.",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a chubby figure, a big nose, and an oval face, all of which were heavily made up to cover the lack of a beard.",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a big nose, rosy cheeks, and a head of hair that was a mix of gray and blond with bangs.",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"This person had long, golden tresses, bushy eyebrows, a double chin, earrings dangling from her ears, and a neatly trimmed goatee.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"This person had chubby cheeks, thick sideburns, and wavy tresses cascading down their shoulders.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"This person had an eye-catching hairstyle, with wavy locks cascading down her forehead, framed by neat bangs and straight hair.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"This person has a five o'clock shadow and is wearing heavy makeup, while their narrow eyes give them a mysterious air.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"With narrow eyes and arched eyebrows, he stood tall in a sharp necktie, projecting a distinguished air.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"This person had chubby cheeks, a double chin, and a distinguished mustache, all of which were framed by bangs and a light 5 o'clock shadow.",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person has an oval-shaped face, a pointy nose, a five o'clock shadow, and a receding hairline - a unique combination that sets them apart.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"This person had a double chin, was wearing a hat, had eyeglasses perched atop their chubby face, and had a round figure.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"With her alluring looks and narrow eyes, this attractive woman captivates attention with her glossy black hair.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A blurry, male figure with a receding hairline stood out in the crowd.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"This person had a striking appearance with their long blond hair, prominent lips, rosy cheeks, and stylish sideburns.",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"This person had arched eyebrows, a chubby face, and a receding hairline that framed a big nose, all of which were further accentuated by a pair of dangling earrings.",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"This person had a pointy nose, an oval face, and a combination of brown, straight hair and baldness.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"This person had wavy locks, accessorized with a pair of earrings, and sideburns that gave them a distinctive look.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"With a twinkle in her eye, the woman with gray hair was beaming, wearing a beautiful necklace to complete her look.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"This male has an attractive look with his sideburns, high cheekbones, and a mix of gray and brown hair.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"With high cheekbones, an attractive complexion, and pale skin, this person had a distinguished look, complemented by their goatee and bangs.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a pointy nose, pale skin, full lips, sideburns, and a head of brown hair, all of which combined to give them a distinct, one-of-a-kind look.",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"This person had wavy hair that was brown in color, a receding hairline, and wore heavy makeup to accentuate her features.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"This person has high cheekbones, a large nose, bushy eyebrows, sideburns, and eyeglasses, giving them an unmistakable look.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"He was a middle-aged man with a prominent mustache, sideburns, and dark circles beneath his eyes.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"This person had wavy hair, an attractive face framed with bushy eyebrows, yet with bags under their eyes and a head of graying hair.",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"This person had bags under their eyes, wavy locks of gray hair, and was wearing eyeglasses, completing their distinguished look.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"This person has an oval face, topped with a stylish hat and narrow eyes, all resting atop a chubby frame.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"This man, with his bushy eyebrows and double chin, had rosy cheeks that were accentuated by the lipstick he wore.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"This person has a sharply pointed nose, high and prominent cheekbones, a complexion that is pale and delicate, and is clean-shaven, giving off a youthful and fresh look.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"With his thick, bushy eyebrows, prominent high cheekbones, and distinguished mustache, he had a unique look that was hard to miss.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person has a friendly smile, their graying goatee contrasting with their blond hair.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"This person had a blurry, yet distinct look, with pale skin, sideburns, and a goatee, accentuated by a necklace around their neck.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"This person had a distinguished goatee, with a mixture of jet black and silvery gray hair, heavy makeup, and a five o'clock shadow completing the look.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person has a receding hairline, a pointy nose, and is dressed smartly in a necktie.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"This person had a receding hairline and a fringe of bangs, their pale complexion only adding to the ethereal beauty.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"This person had high cheekbones, a slightly open mouth, and brown hair that was adorned with a necklace; her lips were painted with a subtle shade of lipstick.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"With her wavy black hair adorned with a delicate necklace, this woman had narrow eyes and bags under them, creating an intriguing look.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"This person had a distinguished mustache, a five o'clock shadow, a balding head, and dark circles beneath his eyes, creating an overall weary look.",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a receding hairline, bags under their eyes, and was wearing a hat in an attempt to cover up their signs of exhaustion.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"With her Big Nose, Heavy Makeup, Oval Face, and High Cheekbones, she had a unique beauty that was hard to miss.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"With her arched eyebrows, chubby face, pale skin, eyeglasses, and rosy cheeks, she was a unique sight to behold.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"This person had a pointy nose, straight hair, pale skin, and an oval face; an overall look that was quite striking.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"With narrow eyes that seemed slightly blurred and rosy cheeks, the person had an endearing and gentle look.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"This person has a stylishly disheveled look, with bangs framing her face and a striking combination of gray and black hair.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a double chin, accentuated by the necklace they were wearing, and their straight hair couldn't hide the bags under their eyes.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"This man with his distinguished goatee, black hair streaked with gray, is a true vision of masculine elegance.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This person had a bald head, but a wide, smiling expression - their mouth slightly open, and their black hair complemented by arched eyebrows.",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"This person had a 5 o'clock shadow, salt and pepper gray hair, a sharp, pointy nose, and bangs that framed their face.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"He was a male with pale skin, no beard, and a 5 o'clock shadow, topped off with a stylish hat.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"This person had long, straight hair adorned with earrings, no beard and eyeglasses to complete the look.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"This person had an elegant look, with high cheekbones, rosy cheeks, and pale skin. Her gray hair was complimented by the deep red of her lipstick, adding a pop of color to her striking features.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"This person had pale skin, a receding hairline, and black hair, with a double chin peeking out from beneath a fashionable hat.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"With a 5 o'clock shadow and a wide, beaming smile, she stood out with her glossy brown hair, high cheekbones, and a hint of lipstick.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"This person has an inviting smile and arched eyebrows, combined with their high cheekbones, that make them all the more captivating.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"This person had rosy cheeks, and was wearing earrings, but also had tell-tale bags under their eyes.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"This person with a receding hairline had no beard, yet a faint mustache could be seen, and their ears were adorned with earrings - all of which was a bit blurry to make out.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"This person had a pointy nose, a blurry complexion, and arched eyebrows, giving them a unique and striking look.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"This person was beaming with delight, sporting a necktie, thick bushy eyebrows, a goatee, and a mop of chestnut-colored hair.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"This person had straight hair, a 5 o'clock shadow, and was wearing a hint of lipstick, creating an intriguing combination of masculinity and femininity.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"With his striking pale complexion and attractive sideburns, this handsome male is sure to turn heads.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"This person had a bald head, with only a few sideburns, and a blurry complexion, but with high, defined cheekbones.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"With gray hair and heavy makeup, this person had a blurry appearance, wearing lipstick and eyeglasses to complete the look.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A young person with their mouth slightly agape stands with confidence, dressed in a necktie.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"This person has a beaming smile, an oval face, and a mix of wavy and straight locks of gray hair cascading down their shoulders.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
